Event,Gender,Age,Age at Performance,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COURSE_CERT_SOURCE,COMMENTS
15 km,M,22,22y316d,41:13,2473,Leonard,Patrick Komon,KEN,1/10/88,,Nijmegen NED,11/21/10,,
15 km,M,21,21y81d,41:29,2489,Felix,Limo Lagat,KEN,8/22/80,,Nijmegen NED,11/11/01,,
15 km,M,28,28y207d,41:38,2498,Haile,Gebreselasie ,ETH,4/18/73,,Nijmegen NED,11/11/01,,
15 km,M,23,23y124d,41:41,2501,Geoffrey,Kipsang Kamworor,KEN,11/22/92,,Cardiff WAL,3/26/16,,
15 km,M,25,25y217d,41:41,2501,Bitan,Karoki Muchiri,KEN,8/21/90,,Cardiff WAL,3/26/16,,
15 km,M,24,24y228d,41:46,2506,Tamrat,Tola Abera,ETH,8/11/91,,Cardiff WAL,3/26/16,,
15 km,M,32,32y216d,41:57,2517,Haile,Gebreselasie ,ETH,4/18/73,,Nijmegen NED,11/20/05,,
15 km,M,20,20y82d,42:01,2521,Abera,Kuma Lema,ETH,8/31/90,,Nijmegen NED,11/21/10,,
15 km,M,26,26y136d,42:01,2521,Nicholas,Kipkemboi Kerich,KEN,7/5/86,,Nijmegen NED,11/18/12,,
15 km,M,29,29y313d,42:01,2521,Steven,Kibet Kosgei,KEN,11/9/86,,Copenhagen DEN,9/18/16,,
15 km,M,19,19y328d,42:02,2522,Ayele,Abshiro Biza,ETH,12/28/90,,Nijmegen NED,11/21/10,,
15 km,M,35,35y121d,42:02,2522,Gilbert,Masai ,KEN,5/20/81,,Copenhagen DEN,9/18/16,,
15 km,M,33,33y3d,42:03,2523,Mohamed,Farah ,ENG,3/23/83,,Cardiff WAL,3/26/16,,
15 km,M,17,17y323d,42:17,2537,Ayele,Abshiro Biza,ETH,12/28/90,,Nijmegen NED,11/16/08,,
15 km,M,30,30y18d,42:24,2544,Worku,Bikila ,ETH,5/6/68,,Nijmegen NED,5/24/98,,
